Strain	Accession	Date	Region	Country	Division	Authors	Journal	Title	Url	CTiter	CTiterSub	Clade Membership	Clock Length	DTiter	DTiterSub	Ep	Lbi	Ne	Num Date	Raw Date
A/Brisbane/294/2016	EPI892999	2016-10-19	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.08	0.00	6b	0.00	0.00	0.00	3.00	0.00	12.00	2016.80	2016-10-18
A/Victoria/503/2016	EPI793183	2016-05-18	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.08	0.00	6b	0.00	0.00	0.00	2.00	0.00	12.00	2016.38	2016-05-18
A/Kenya/101/2016	EPI912122	2016-10-17	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.02	0.44	6b	0.01	0.00	0.00	2.00	0.00	9.00	2016.80	2016-10-17
A/Bangladesh/3002/2015	EPI685571	2015-05-06	South Asia	Bangladesh	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.02	0.44	6b	0.00	0.00	0.00	2.00	0.02	8.00	2015.35	2015-05-07
A/Tanzania/1494/2017	EPI1175766	2017-11-15	Africa	Tanzania	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.06	0.44	6b	0.00	0.00	0.00	3.00	0.00	9.00	2017.87	2017-11-15
A/Tanzania/2918/2018	EPI1267157	2018-04-25	Africa	Tanzania	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.06	0.44	6b	0.00	0.00	0.00	2.00	0.00	11.00	2018.31	2018-04-25
A/Tanzania/4789/2017	EPI1175718	2017-12-22	Africa	Tanzania	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.06	0.44	6b	0.00	0.00	0.00	2.00	0.00	9.00	2017.97	2017-12-22
A/Kenya/108/2016	EPI912177	2016-10-19	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.02	0.47	6b	0.00	0.00	0.02	3.00	0.00	10.00	2016.80	2016-10-18
A/Kenya/103/2016	EPI912138	2016-10-17	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.02	0.44	6b	0.00	0.00	0.00	2.00	0.00	10.00	2016.80	2016-10-17
A/Kenya/102/2016	EPI912130	2016-10-19	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.02	0.44	6b	0.00	0.00	0.00	2.00	0.00	9.00	2016.80	2016-10-18
A/Kenya/104/2016	EPI1017463	2016-11-07	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.02	0.44	6b	0.00	0.00	0.00	2.00	0.00	10.00	2016.85	2016-11-07
A/Kenya/105/2016	EPI912154	2016-10-26	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.02	0.44	6b	0.00	0.00	0.00	2.00	0.00	8.00	2016.82	2016-10-25
A/Kenya/107/2016	EPI912169	2016-10-17	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.02	0.44	6b	0.00	0.00	0.00	2.00	0.00	8.00	2016.80	2016-10-17
A/Kenya/109/2016	EPI912185	2016-10-26	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.02	0.44	6b	0.00	0.00	0.00	2.00	0.00	8.00	2016.82	2016-10-25
A/Kenya/106/2016	EPI912161	2016-10-19	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.02	0.44	6b	0.00	0.00	0.00	2.00	0.00	8.00	2016.80	2016-10-18
A/Brisbane/181/2015	EPI704084	2015-10-05	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.02	0.50	6b1	0.00	0.00	0.00	3.00	0.02	10.00	2015.76	2015-10-06
A/Denmark/53/2016	EPI917121	2016-11-11	Europe	Denmark	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.02	0.50	6b1	0.01	0.00	0.00	2.00	0.00	11.00	2016.86	2016-11-10
A/Croatia/3547/2016	EPI917115	2016-11-29	Europe	Croatia	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.05	0.50	6b1	0.01	0.00	0.00	3.00	0.00	9.00	2016.91	2016-11-28
A/Michigan/45/2015	EPI1381204	2015-09-06	North America	USA	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.03	9.00	2015.68	2015-09-07
A/Dakar/14/2016	EPI982531	2016-11-03	Africa	Senegal	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2016.84	2016-11-02
A/SouthAustralia/10/2017	EPI919556	2017-01-11	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.03	2017-01-12
A/Lao/202/2017	EPI1025208	2017-01-15	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	4.00	0.00	10.00	2017.04	2017-01-16
A/Lao/4392/2016	EPI1025033	2016-12-06	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	4.00	0.00	12.00	2016.93	2016-12-05
A/Lao/995/2017	EPI1093934	2017-03-19	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	4.00	0.00	13.00	2017.22	2017-03-20
A/Lao/194/2017	EPI1024945	2017-01-15	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	4.00	0.00	10.00	2017.04	2017-01-16
A/Lao/4582/2016	EPI1025001	2016-12-21	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	4.00	0.00	10.00	2016.97	2016-12-20
A/Lao/306/2017	EPI1025192	2017-01-23	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	5.00	0.00	10.00	2017.07	2017-01-24
A/Lao/656/2017	EPI1017415	2017-02-20	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	4.00	0.00	10.00	2017.14	2017-02-20
A/Lao/157/2017	EPI1024961	2017-01-14	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	4.00	0.00	12.00	2017.04	2017-01-14
A/Aichi/137/2016	EPI957441	2016-11-22	Japan Korea	Japan	unknown	Aichi Prefectural Institute Of Public Health	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.90	2016-11-22
A/Aichi/131/2016	EPI957416	2016-11-15	Japan Korea	Japan	unknown	Aichi Prefectural Institute Of Public Health	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.88	2016-11-15
A/Lao/F3597/2016	EPI903965	2016-10-27	Southeast Asia	Laos	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2016.82	2016-10-26
A/Lao/213/2017	EPI1025200	2017-01-17	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.05	2017-01-17
A/Lao/4586/2016	EPI1025232	2016-12-22	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.97	2016-12-21
A/Lao/4378/2016	EPI1025041	2016-12-06	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	4.00	0.00	13.00	2016.93	2016-12-05
A/Lao/4573/2016	EPI1025009	2016-12-19	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2016.97	2016-12-19
A/Lao/3711/2016	EPI912042	2016-10-31	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2016.84	2016-10-31
A/Lao/F0550/2017	EPI1027191	2017-02-13	Southeast Asia	Laos	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	13.00	2017.12	2017-02-14
A/Lao/6/2016	EPI1024993	2016-12-30	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	13.00	2017.00	2016-12-30
A/Yasothon/404/2016	EPI917707	2016-10-27	Southeast Asia	Thailand	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2016.82	2016-10-26
A/Lao/F3531/2016	EPI903961	2016-10-24	Southeast Asia	Laos	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	13.00	2016.82	2016-10-24
A/Lao/3816/2016	EPI912074	2016-11-06	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2016.85	2016-11-05
A/Lao/4633/2016	EPI1025224	2016-12-26	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	13.00	2016.99	2016-12-26
A/Lao/9/2016	EPI1024985	2016-12-30	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	13.00	2017.00	2016-12-30
A/Nagano/2050/2017	EPI1044561	2017-01-29	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2017.08	2017-01-30
A/Fukui/5/2017	EPI1002832	2017-01-15	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	13.00	2017.04	2017-01-15
A/Lao/176/2017	EPI1024953	2017-01-15	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2017.04	2017-01-16
A/Lao/1035/2017	EPI1093942	2017-03-23	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.23	2017-03-24
A/Lao/365/2017	EPI1024937	2017-01-29	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2017.08	2017-01-30
A/Lao/1448/2017	EPI1093966	2017-05-05	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	13.00	2017.34	2017-05-05
A/PrachuapKhiriKhan/334/2016	EPI917651	2016-10-19	Southeast Asia	Thailand	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.80	2016-10-18
A/Singapore/TT1330/2016	EPI874266	2016-10-27	Southeast Asia	Singapore	unknown	Ministry Of Health Singapore	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.82	2016-10-27
A/Saitama/111/2016	EPI869839	2016-10-31	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.83	2016-10-30
A/Singapore/KK1059/2016	EPI874258	2016-10-24	Southeast Asia	Singapore	unknown	Ministry Of Health Singapore	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.82	2016-10-24
A/Lao/4456/2016	EPI1025025	2016-12-14	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.95	2016-12-13
A/Shizuoka/41/2017	EPI1009561	2017-02-06	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.10	2017-02-06
A/Hunan-Yuhua/SWL128/2017	EPI944037	2017-01-02	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2017.01	2017-01-02
A/Aichi/47/2017	EPI1002816	2017-01-15	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.04	2017-01-16
A/HongKong/223/2017	EPI912241	2017-01-08	China	Hong Kong	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2017.02	2017-01-09
A/Shaanxi-Weicheng/SWL134/2017	EPI943980	2017-01-11	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.03	2017-01-11
A/Zhejiang-Xiacheng/SWL1982/2016	EPI885441	2016-12-06	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.93	2016-12-05
A/HongKong/3648/2017	EPI1047100	2017-07-14	China	Hong Kong	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.53	2017-07-14
A/Guangxi-Qingxiu/SWL1465/2017	EPI1062820	2017-06-12	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2017.45	2017-06-13
A/Sichuan-Anyue/SWL1215/2017	EPI1030285	2017-03-04	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	4.00	0.00	11.00	2017.18	2017-03-05
A/NewZealand/480/2017	EPI1099251	2017-07-22	Oceania	New Zealand	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2017.56	2017-07-22
A/Sichuan-Dongqu/SWL11082/2017	EPI1062814	2017-06-26	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2017.48	2017-06-26
A/Sichuan-Anyue/SWL77/2017	EPI1062841	2017-04-18	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2017.30	2017-04-19
A/NewZealand/971/2017	EPI1105328	2017-07-12	Oceania	New Zealand	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.05	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2017.53	2017-07-13
A/Tokyo/16493/2016	EPI943344	2016-12-03	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.14	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.92	2016-12-02
A/Guangxi-Jiangzhou/SWL1632/2017	EPI1062448	2017-08-03	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.14	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2017.59	2017-08-04
A/Lao/3663/2016	EPI912034	2016-10-31	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.14	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.84	2016-10-31
A/Lao/3489/2016	EPI912010	2016-10-20	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.14	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.80	2016-10-19
A/Lao/4319/2016	EPI1024913	2016-11-30	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.14	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.92	2016-11-30
A/Lao/53/2017	EPI1024977	2017-01-04	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.33	0.50	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2017.01	2017-01-05
A/Lao/3660/2016	EPI912026	2016-10-31	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.33	0.50	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2016.84	2016-10-31
A/Lao/F3573/2016	EPI903963	2016-10-26	Southeast Asia	Laos	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.33	0.50	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2016.82	2016-10-25
A/Lao/3570/2016	EPI912018	2016-10-27	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.33	0.50	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2016.82	2016-10-26
A/Lao/3779/2016	EPI912058	2016-11-04	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.33	0.50	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2016.84	2016-11-03
A/Lao/3721/2016	EPI912050	2016-10-31	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.33	0.50	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2016.84	2016-10-31
A/Lao/1117/2017	EPI1093950	2017-04-02	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.63	0.50	6b1	0.00	0.00	0.00	3.00	0.00	13.00	2017.25	2017-04-03
A/Lao/3441/2016	EPI912002	2016-10-16	Southeast Asia	Laos	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.63	0.50	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2016.79	2016-10-15
A/Brisbane/295/2016	EPI893196	2016-11-04	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.15	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.84	2016-11-03
A/ChiangMai/407/2016	EPI917525	2016-10-22	Southeast Asia	Thailand	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2016.81	2016-10-21
A/Yamagata/204/2016	EPI869817	2016-10-16	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.15	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.79	2016-10-15
A/Kochi/32/2016	EPI943358	2016-12-25	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.15	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2016.98	2016-12-24
A/Austria/961799/2016	EPI998877	2016-12-26	Europe	Austria	unknown	Medical University Vienna	unknown	unknown	unknown	0.15	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.99	2016-12-26
A/Taiwan/964/2016	EPI881898	2016-11-29	China	Taiwan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.15	0.50	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2016.91	2016-11-28
A/Austria/953687/2016	EPI917107	2016-11-14	Europe	Austria	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.15	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2016.87	2016-11-13
A/Austria/953688/2016	EPI917109	2016-11-14	Europe	Austria	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.15	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2016.87	2016-11-13
A/Taiwan/963/2016	EPI881896	2016-11-23	China	Taiwan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.15	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2016.90	2016-11-23
A/Austria/958726/2016	EPI917111	2016-12-13	Europe	Austria	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.15	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2016.95	2016-12-12
A/Kumamoto/13/2017	EPI1044577	2017-03-12	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.15	0.51	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2017.20	2017-03-13
A/Sakai/21/2017	EPI1044565	2017-04-12	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.15	0.51	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2017.28	2017-04-12
A/Osaka/170/2017	EPI1044569	2017-04-10	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.15	0.51	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2017.28	2017-04-11
A/Yamagata/205/2016	EPI869819	2016-10-17	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.15	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.80	2016-10-17
A/Yamagata/210/2016	EPI881884	2016-11-11	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.15	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.87	2016-11-11
A/Saitama/215/2017	EPI1009575	2017-03-18	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.15	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2017.21	2017-03-18
A/Kobe/614/2016	EPI943332	2016-12-08	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.15	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.94	2016-12-08
A/Ehime/11/2017	EPI1009571	2017-02-13	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.15	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2017.12	2017-02-13
A/Austria/966734/2017	EPI998894	2017-01-22	Europe	Austria	unknown	Medical University Vienna	unknown	unknown	unknown	0.15	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.06	2017-01-23
A/Yamaguchi/41/2017	EPI1085163	2017-04-25	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.15	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.32	2017-04-26
A/Kanagawa/206/2016	EPI917557	2016-11-03	Japan Korea	Japan	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.15	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2016.84	2016-11-02
